Year,CPI,GNI per capita ,Average years of schooling,Life expectancy (years),CO2 level (t/capita),PM2.5 pollution,Per capita energy consumption (kWh),EVs sold as a percentage of all cars,EVs sold as a percentage of entry-level cars,EVs sold as a percentage of compact cars,EVs sold as a percentage of mid-size cars,EVs sold as a percentage of premium cars
2011,212,38912,16.3,81,6.1,16.1,5022,0.0353,0.023,0.015,0.008,0.005
2012,215.2,40627,16.4,81.2,5.9,15.8,4941,0.0326,0.031,0.017,0.009,0.006
2013,218,42325,16.5,81.4,5.8,15.5,4853,0.0325,0.035,0.021,0.012,0.007
2014,221.1,44039,16.6,81.6,5.6,15.2,4765,0.0335,0.039,0.023,0.014,0.008
2015,224.5,45751,16.7,81.8,5.5,14.9,4677,0.0356,0.042,0.025,0.015,0.009
2016,227.2,47474,16.8,82,5.3,14.6,4589,0.0364,0.047,0.028,0.017,0.01
2017,232.2,50122,16.9,82.2,5.2,14.3,4498,0.0379,0.053,0.031,0.019,0.012
2018,237.1,52822,17,82.4,5.1,14,4407,0.0393,0.056,0.034,0.021,0.014
2019,240.9,55538,17.1,82.5,4.9,13.7,4316,0.0413,0.061,0.037,0.023,0.016
2020,243.8,56441,17.2,82.7,4.8,13.4,4225,0.0429,0.065,0.04,0.025,0.018
2021,249.2,59238,17.3,82.8,4.6,13.1,4134,0.0431,0.072,0.044,0.028,0.02
2022,255.4,62035,17.4,82.9,4.5,12.8,4043,0.0424,0.081,0.052,0.032,0.024
