Year,CPI,GNI per capita ,Average years of schooling,Life expectancy (years),CO2 level (t/capita),PM2.5 pollution,Per capita energy consumption (kWh),EVs sold as a percentage of all cars,EVs sold as a percentage of entry-level cars,EVs sold as a percentage of compact cars,EVs sold as a percentage of mid-size cars,EVs sold as a percentage of premium cars
2011,100,60000,16,80,2.7,15,6000,0.005,0.010,0.005,0.001,0.001
2012,101,61000,16.5,80.5,2.8,14,6100,0.010,0.020,0.010,0.002,0.001
2013,102,62000,17,81,2.9,13,6200,0.015,0.030,0.015,0.003,0.002
2014,103,63000,17.5,81.5,3,12,6300,0.020,0.040,0.020,0.004,0.002
2015,104,64000,18,82,3.1,11,6400,0.025,0.050,0.025,0.005,0.003
2016,105,65000,18.5,82.5,3.2,10,6500,0.030,0.060,0.030,0.006,0.003
2017,106,66000,19,83,3.3,9,6600,0.040,0.080,0.040,0.008,0.004
2018,107,67000,19.5,83.5,3.4,8,6700,0.050,0.100,0.050,0.010,0.005
2019,108,68000,20,84,3.5,7,6800,0.060,0.120,0.060,0.012,0.006
2020,109,69000,20.5,84.5,3.6,6,6900,0.080,0.160,0.080,0.016,0.008
2021,110,70000,21,85,3.7,5,7000,0.100,0.200,0.100,0.020,0.010
2022,111,71000,21.5,85.5,3.8,4,7100,0.120,0.240,0.120,0.024,0.012
2023,112,72000,22,86,3.9,3,7200,0.140,0.280,0.140,0.028,0.014
