Year,CPI,GNI per capita ,Average years of schooling,Life expectancy (years),CO2 level (t/capita),PM2.5 pollution,Per capita energy consumption (kWh),EVs sold as a percentage of all cars,EVs sold as a percentage of entry-level cars,EVs sold as a percentage of compact cars,EVs sold as a percentage of mid-size cars,EVs sold as a percentage of premium cars
2011,100,45000,14,81,2,12,5000,0.005,0.01,0.005,0.001,0.0005
2012,101,46000,14.5,81.5,2.1,11,5100,0.01,0.02,0.01,0.002,0.001
2013,102,47000,15,82,2.2,10,5200,0.015,0.03,0.015,0.003,0.0015
2014,103,48000,15.5,82.5,2.3,9,5300,0.02,0.04,0.02,0.004,0.002
2015,104,49000,16,83,2.4,8,5400,0.025,0.05,0.025,0.005,0.0025
2016,105,50000,16.5,83.5,2.5,7,5500,0.03,0.06,0.03,0.006,0.003
2017,106,51000,17,84,2.6,6,5600,0.04,0.08,0.04,0.008,0.004
2018,107,52000,17.5,84.5,2.7,5,5700,0.05,0.1,0.05,0.01,0.005
2019,108,53000,18,85,2.8,4,5800,0.06,0.12,0.06,0.012,0.006
2020,109,54000,18.5,85.5,2.9,3,5900,0.08,0.16,0.08,0.016,0.008
2021,110,55000,19,86,3,2,6000,0.1,0.2,0.1,0.02,0.01
2022,111,56000,19.5,86.5,3.1,1,6100,0.12,0.24,0.12,0.024,0.012
2023,112,57000,20,87,3.2,0,6200,0.14,0.28,0.14,0.028,0.014
